No,District,Areas Region(km squared),Borough,Latitude,Longitude,Kepadatan 2019,Kepadatan 2020,Kepadatan 2021
1,TEGALSARI,4.29,Surabaya Pusat,-7.2798481,112.7360686,25193,21448,21255
2,GENTENG,4.05,Surabaya Pusat,-7.2590879,112.7479862,15593,13068,13000
3,BUBUTAN,3.86,Surabaya Pusat,-7.24996,112.73011,27933,23483,23184
4,SIMOKERTO,2.59,Surabaya Pusat,-7.23865,112.75394,40207,33551,33108
5,PABEAN CANTIKAN,6.8,Surabaya Utara,-7.21475,112.73011,12625,10413,13093
6,SEMAMPIR,8.76,Surabaya Utara,-7.21146,112.74501,23566,19711,19121
7,KREMBANGAN,8.34,Surabaya Utara,-7.23015,112.72415,15196,13073,12659
8,KENJERAN,7.77,Surabaya Utara,-7.22027,112.76884,23063,23337,21252
9,BULAK,6.72,Surabaya Utara,-7.23677,112.7897,6870,6513,6987
10,TAMBAKSARI,8.99,Surabaya Timur,-7.25044,112.76884,26613,23912,23988
11,GUBENG,7.99,Surabaya Timur,-7.27891,112.75394,18004,15515,15638
12,RUNGKUT,21.08,Surabaya Timur,-7.31902,112.80459,5751,5871,5453
13,TENGGILIS MEJOYO,5.52,Surabaya Timur,-7.32423,112.75394,10917,11085,10222
14,GUNUNG ANYAR,9.71,Surabaya Timur,-7.33916,112.80459,6231,6435,6200
15,SUKOLILO,23.68,Surabaya Timur,-7.28818,112.81651,4936,4669,3674
16,MULYOREJO,14.21,Surabaya Timur,-7.26931,112.79268,6426,6090,4964
17,SAWAHAN,6.93,Surabaya Selatan,-7.26301,112.72117,31226,27228,26432
18,WONOKROMO,8.47,Surabaya Selatan,-7.30266,112.73309,20069,17078,17490
19,KARANGPILANG,9.23,Surabaya Selatan,-7.33778,112.6884,8402,8104,7819
20,DUKUH PAKIS,9.94,Surabaya Selatan,-7.29684,112.70032,6316,5705,5483
21,WIYUNG,12.46,Surabaya Selatan,-7.31526,112.68542,5936,5747,5902
22,WONOCOLO,6.77,Surabaya Selatan,-7.31982,112.74203,12596,11125,11506
23,GAYUNGAN,6.07,Surabaya Selatan,-7.33084,112.72415,7878,6802,6988
24,JAMBANGAN,4.19,Surabaya Selatan,-7.32108,112.71819,12911,12045,12266
25,TANDES,11.07,Surabaya Barat,-7.25544,112.6735,8725,7905,9303
26,SUKOMANUNGGAL,9.23,Surabaya Barat,-7.26426,112.69734,11725,10971,11122
27,ASEMROWO,15.44,Surabaya Barat,-7.23469,112.68542,3226,2950,2882
28,BENOWO,23.73,Surabaya Barat,-7.22649,112.64966,2880,2947,2839
29,PAKAL,22.07,Surabaya Barat,-7.22835,112.61391,2655,2717,3256
30,LAKARSANTRI,18.99,Surabaya Barat,-7.31651,112.66158,3257,3120,3125
31,SAMBIKEREP,23.68,Surabaya Barat,-7.27684,112.64966,2820,2693,3726
